EIIN,SIX_AVG,SEVEN_AVG,EIGHT_AVG,NINE_AVG,TEN_AVG,FEM_STD_RATIO,FEM_TCH_RATIO,SESscore_L,SESscore_LM,SESscore_UM,SESscore_U,INSTITUTE NAME,INSTITUTE_TYPE,DIVISION,DISTRICT,THANA,UNION_NAME,MAUZA_NAME,ADDRESS,MOBILE,STUDENT_TYPE,EDUCATION_LEVEL,AScore,TSR_SCORE,AS_SCORE,SES_SCORE
106919,11.07,11.54,12.05,13.68,15.46,0.538,0,0.263,0.657,0.581,0.651,HOSENPUR BL HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR,TIARIGANJ,BINOD DHARMAPUR,BINOD DHARMA PUR,1732782099,CO-EDUCATION JOINT,Secondary,1,0.051819503,0.524107464,0.542955171
106921,10.9,11.39,12.93,14.59,15.37,1,0.25,0.303,0.685,0.555,0.626,KHILBAISA UCHHA BALIKA BIDYA NIKETAN,School,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR,PARBATINAGAR,PARBATINAGAR,KHIL BAISA,1740963458,GIRLS,Secondary,1,0.521822001,0.506722438,0.524835878
106922,10.96,11.91,13.95,15,16,0.575,0.2,0.274,0.665,0.574,0.644,LAHARKANDI HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR,WARD NO-12,LAHARKANDI (PART),LAHAR KANDI,1718465172,CO-EDUCATION JOINT,Secondary,7,0.539139446,0.506722438,0.976960841
106923,11.53,11.4,12.35,13.39,14.26,0.616,0.231,0.347,0.712,0.528,0.6,RAMPUR HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR,CHARSAI,RAMPUR,RAMPUR,1731728571,CO-EDUCATION JOINT,Secondary,1,0.697071703,0.506722438,0.505654822
106924,11.91,13.02,14.17,0,0,1,0.667,0.93,0.326,0.161,0.212,YOUSUFPUR JUNIOR GIRLS SCHOOL,School,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR,HAJIR PARA,YOUSUFPUR,YOUSUFPUR,1670304058,GIRLS,Junior Secondary,1,0.561068674,0.418401626,0.236065755
106925,11.82,12.27,13.79,15.09,15.59,0.452,0.143,0.316,0.693,0.547,0.618,PANCHPARA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR,CHANDRAGANJ,PANCH PARA,PANCHPARA,1720608922,CO-EDUCATION JOINT,Secondary,1,0.448662369,0.658605725,0.518782809
106926,12,13,14,15,16,1,0.3,0.416,0.737,0.486,0.56,ALHAZ IBRAHIM  MIA  GIRLS HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR,CHANDRAGANJ,PASCHIM LATIFPUR,PASCHIM LATIFPUR,1791977595,GIRLS,Secondary,1,0.204978469,0.291524476,0.477124756
106927,10.76,12.08,13.37,14.39,15.23,0.621,0.273,0.746,0.529,0.298,0.367,NANDANPUR HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR,DAKSHIN HAMCHADI,DAKSHIN HAMCHADI,NANDANPUR,1716285770,CO-EDUCATION JOINT,Secondary,1,0.508195067,0.291524476,0.344612675
106928,11.56,12.55,13.73,14.36,14.56,0.579,0.091,0.388,0.736,0.503,0.576,SHAKCHAR  JABBER MASTER HAT HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR,SHAK CHAR,SHAK CHAR,SHAKCHAR,1718579697,CO-EDUCATION JOINT,Secondary,1,0.319598924,0.221680781,0.488480412
106929,11,11.7,12.64,13.62,14.41,0.547,0.333,0.258,0.654,0.585,0.654,PALERHAT PUBLIC HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR,DAKSHIN HAMCHADI,HETIMPUR,HETIMPUR,1712760957,CO-EDUCATION JOINT,Secondary,1,0.538440966,0.208963269,0.545465552
106930,11.19,12.06,13.23,14.11,15.1,0.631,0.2,0.149,0.557,0.669,0.731,MOHAMMED ULLAH HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR,DAKSHIN HAMCHADI,DAKSHIN HAMCHADI,GANGAPUR,1789321513,CO-EDUCATION JOINT,Secondary,1,0.162004937,0.208963269,0.605433221
107001,11.39,12.2,12.61,13.56,13.86,0.613,0.091,0.226,0.629,0.608,0.676,MOLLAR HAT HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,KEROA,KEROA,SOUTH KRYOA,1718463506,CO-EDUCATION JOINT,Secondary,1,0.565321009,0.234829372,0.561484806
107002,11.18,12.02,12.96,14.02,14.91,0.626,0,0.779,0.501,0.277,0.344,CHARLAXMI JANATA SECONDARY SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,SOUTH CHAR BANGSHI,CHAR LAKSHMI,CHARLAXMI,1712975631,CO-EDUCATION JOINT,Secondary,1,0.005900619,0.276780916,0.329126028
107003,10.2,11.12,12.26,13.37,14.15,0.528,0.25,0.174,0.582,0.648,0.712,CHARPATA MUZIBUL HAQ ACADEMY,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,CHAR PATA,CHAR PATA,CHARPATA,1715033627,CO-EDUCATION JOINT,Secondary,1,0.174946726,0.152037166,0.590247027
107004,11.26,12.17,12.61,13.49,13.89,0.523,0.1,0.351,0.715,0.525,0.598,CHAR BANGSHI S.M. AZIZIA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,NORTH CHAR BANGSHI,CHAR BANGSHI,CHARBANGSHI,1813078957,CO-EDUCATION JOINT,Secondary,1,0.183228121,0.926922501,0.503886812
107005,10.89,11.92,13.46,13.55,14.38,0.583,0.222,0.511,0.685,0.433,0.507,KEROA MANSURA  HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,KEROA,KEROA,NORTH KEROA,1714279115,CO-EDUCATION JOINT,Secondary,1,0.79699983,0.558284194,0.439957204
107006,11.28,12.74,13.82,15.42,0,0.68,0.1,0.515,0.683,0.431,0.504,MITALI BAZAR MODEL ACADEMY,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,NORTH CHAR ABABIL,CHAR ABABIL,KAZIR CHAR,1731352583,CO-EDUCATION JOINT,Secondary,1,0.289509175,0.262412351,0.438459288
107007,11.07,12.13,13.09,14.12,15.17,0.656,0.111,0.93,0.325,0.16,0.211,CHAR BONGSHI JOYNALIA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,NORTH CHAR BANGSHI,CHAR BANGSHI,CHAR BANGSHI,1812906290,CO-EDUCATION JOINT,Secondary,1,0.018146152,0.689929384,0.23548099
107008,11.31,12.48,13.52,14.48,15.13,1,0.111,0.404,0,0,0,HYDERGONJ ROKEYA HASMATENNESA GIRLS HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,NORTH CHAR ABABIL,CHAR ABABIL,CHAR ABABIL,1718259949,GIRLS,Secondary,1,0.058686985,0.557014057,0.000662592
107009,11.91,12.41,13.14,14.08,15.12,,0,0.749,0.526,0.296,0.364,RAIPUR L.M PILOT MODEL HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,WARD NO-09,UTTAR KEROYA,RAIPUR POURASAVA,1713933181,CO-EDUCATION JOINT,Secondary,5,0.958798995,0.996690481,0.805646845
107010,11.6,12.59,13.6,14.27,15.68,0.298,0.148,0.01,0.248,0.877,0.909,RAIPUR MARCHANTS ACADEMY,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,WARD NO-04,DAKSHIN DENAYETPUR,184.UPAZILLA PORISHAD ROAD.DANAETPUR,1712790796,CO-EDUCATION JOINT,Secondary,5,0.439314917,0.812552185,0.97911629
107012,11,12,13,14,14,0.561,0,0.665,0.589,0.346,0.417,SHAMSUN NAHAR HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,WARD NO-07,DAKSHIN KEROYA,KANCHANPUR,1710474542,CO-EDUCATION JOINT,Secondary,1,0.652162268,0.196652922,0.379003321
107013,11.14,11.97,13.04,13.38,14.88,0.491,0,0.415,0.738,0.487,0.56,CHAR ABABIL S C HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,NORTH CHAR ABABIL,KEORADAGI,KEORADAGI,1836857688,CO-EDUCATION JOINT,Secondary,1,0.264627609,0.997100378,0.477376937
107014,12.03,12.9,13.48,14.94,15.2,0.394,0.222,0.893,0.382,0.195,0.252,CHAR ABABIL RACHIM UDDIN HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,NORTH CHAR ABABIL,CHAR ABABIL,CHAR ABABIL,1716843047,CO-EDUCATION JOINT,Secondary,1,0.008463369,0.995128561,0.265053938
107015,10.46,11.46,12.51,13.38,15.4,0.472,0.167,0.248,0.646,0.592,0.661,LUDHUA M M HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,KEROA,LUDHUA,LUDHUA,1732782571,CO-EDUCATION JOINT,Secondary,1,0.32638055,0.943372601,0.550480772
107016,11.2,12.28,13.24,14.35,15.24,1,0.2,0.389,0.736,0.502,0.575,LAMCHARY RN GIRLS HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,KEROA,KEROA,KEROA,1717090804,GIRLS,Secondary,1,0.791237467,0.705106546,0.487975449
107017,11.88,12.55,13.39,14.2,15.03,0.632,0.3,0.431,0.73,0.478,0.552,RAKHALIA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,SONAPUR,BAGA RAKHALIA,RAKHALIA,1716567295,CO-EDUCATION JOINT,Secondary,1,0.045061467,0.674421531,0.471327339
107018,11.25,12.32,13.31,14.41,15.26,0.652,0,0.477,0.704,0.452,0.525,K.S.PUBLIC HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,BAMNI,SAGARDI,SAGORDI,1872417061,CO-EDUCATION JOINT,Secondary,1,0.442364607,0.626104093,0.452972896
107019,11.03,12.06,12.94,14.1,15.15,0.644,0.333,0.466,0.71,0.458,0.532,DAKSHIN RAIPUR ABDUR RAHMAN ADARSHA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,CHAR MOHANA,ROYPUR,DAKSHIN RAIPUR,1712558978,CO-EDUCATION JOINT,Secondary,1,0.170561751,0.60951598,0.457239708
107020,10.96,11.94,12.89,13.64,14.87,0.585,0.222,0.647,0.601,0.356,0.428,JANAKALYAN BOHIMUKHI HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,WARD NO-01,DAKSHIN PURBALACH,DEBIPUR,1715264113,CO-EDUCATION JOINT,Secondary,1,0.347655523,0.558613391,0.38625055
107021,11.04,12.05,13.17,14.44,15.19,0.582,0.1,0.018,0.294,0.85,0.888,KAZIR DIGHIR PAR SAMAJ KALYAN HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,BAMNI,BAMNI,SAICHA,1716249886,CO-EDUCATION JOINT,Secondary,1,0.29358387,0.524107464,0.753028226
107023,12.6,12.81,14.22,14.55,14.66,0.512,0.071,0.41,0.741,0.49,0.564,BAMONE ADARSHA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,BAMNI,BAMNI,BAMONE,1712717637,CO-EDUCATION JOINT,Secondary,1,0.163535331,0.32325687,0.479646956
107024,11,12,13,14,15,0.69,0.182,0.498,0.692,0.44,0.514,MIRGONJ GIRLS HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,KEROA,KEROA,PURBO KEROA,1734922615,CO-EDUCATION JOINT,Secondary,1,0.69745823,0.262412351,0.44495635
107025,11.86,12.59,12.87,14.18,15.01,0.592,0,0.935,0.317,0.156,0.206,L. K. H. UPAKULIO HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,SOUTH CHAR BANGSHI,KACHHIAR CHAR,CHORKACHIA,1718004260,CO-EDUCATION JOINT,Secondary,1,0.001639848,0.196652922,0.231410098
107026,11.52,13.07,13.98,15.02,15.47,0.683,0.4,0.632,0.611,0.365,0.437,UDMARA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,ROYPUR,SOUTH CHAR ABABIL,UDMARA,UDMARA,1712132240,CO-EDUCATION JOINT,Secondary,1,0.174946726,0.184824186,0.392320493
107051,10.97,12.1,13.05,13.95,13.87,0.624,0.167,0.26,0.655,0.584,0.653,DALTA RAHMANIA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,BHATRA,DALTA,DALTA,1714732427,CO-EDUCATION JOINT,Secondary,1,0.09892071,0.982398912,0.544712624
107052,11.12,12.73,13.79,14.09,15.09,0.573,0.125,0.419,0.736,0.485,0.559,NARAYANPUR HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,ICHHAPUR,NARAYANPUR,NARAYANPUR,1718465107,CO-EDUCATION JOINT,Secondary,1,0.204416665,0.954761357,0.476116127
107053,11.57,11.88,12.95,13.91,14.98,0.304,0.105,0.496,0.693,0.441,0.515,RAMGONJ HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,WARD NO-07,PASCHIM ANGHAR PARA,AUNGARPARA,1917662402,CO-EDUCATION JOINT,Secondary,5,0.0928655,0.248058445,0.870717479
107055,11,12,13,13,14,0.573,0,0.183,0.592,0.64,0.705,BHATRA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,BHATRA,MAMUDPUR,10 NO BHATRA,1724436855,CO-EDUCATION JOINT,Secondary,1,0.049979384,0.998321585,0.584577506
107056,11.74,13,13.79,13.94,14.67,0.612,0.333,0.332,0.703,0.537,0.609,DASPARA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,LAMCHAR,BISHNU BALLABPUR,DASPARA,1748355009,CO-EDUCATION JOINT,Secondary,1,0.322032086,0.60951598,0.511967996
107057,10.63,11.6,12.69,13.66,14.63,0.433,0.214,0.41,0.74,0.49,0.563,CHANDIPUR MANSHA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,CHANDIPUR,CHANDIPUR,CHANDIPUR,1721442600,CO-EDUCATION JOINT,Secondary,1,0.404339744,0.984208105,0.479394697
107058,10.23,11.24,12.26,13.11,14.07,0.616,0.111,0.649,0.599,0.355,0.427,SREERAMPUR HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,ICHHAPUR,SREERAMPUR,SREERAMPUR,1716004064,CO-EDUCATION JOINT,Secondary,1,0.031715964,0.967476717,0.385523991
107059,12.27,13.1,14.25,14.97,15.73,0.55,0,0.556,0.659,0.408,0.481,LAMCHAR ML HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,LAMCHAR,LAMCHAR,LAMCHAR,1716052427,CO-EDUCATION JOINT,Secondary,1,0.383575365,0.96667114,0.422540544
107060,11.53,12.79,13.55,14.58,15.38,0.541,0.1,0.373,0.727,0.512,0.585,KANCHANPUR HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,KANCHANPUR,SAFALI PARA,SAEFALI PARA,1712154971,CO-EDUCATION JOINT,Secondary,1,0.042493452,0.960611734,0.494793738
107061,11,12,13,14,15,1,0,0.404,0.744,0.494,0.567,CHANDIPUR  SARADESWARY GIRLS HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,CHANDIPUR,CHANDIPUR,CHANDIPUR,1715393848,GIRLS,Secondary,1,0.5375677,0.907023192,0.482169971
107062,12.16,13.21,14.13,14.94,15,0.504,0.125,0.346,0.712,0.528,0.6,BHADUR HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,BHADUR,PURBA BHADUR,BHADUR,1726372535,CO-EDUCATION JOINT,Secondary,1,0.070229222,0.899577859,0.505907387
107063,11.37,12.37,13.99,14.47,15.42,0.578,0.214,0.436,0.726,0.475,0.548,PANIALA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,NOAGAON,PANIALA,PANIALA,1727619165,CO-EDUCATION JOINT,Secondary,1,0.135317527,0.80062221,0.469060369
107064,11.13,12.21,13.19,14.33,15.16,0.575,0.222,0.252,0.649,0.589,0.658,K.M. UNITED ACADEMY,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,DARBESHPUR,DARBESH PUR,MAJHIRGAON,1729985619,CO-EDUCATION JOINT,Secondary,1,0.15062693,0.788246309,0.548475606
107066,10.87,11.85,13.15,13.75,14.75,0.57,0.273,0.573,0.648,0.398,0.471,TEORI  BOHU MUKHI HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,BHOLAKOT,TIARI,TEORI,1711382353,CO-EDUCATION JOINT,Secondary,1,0.455176863,0.697623029,0.415614094
107067,12.79,12.7,13.73,14.71,14.99,0.623,0.273,0.529,0.674,0.422,0.496,NOAGAON JANAKALLYAN HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,NOAGAON,NOAGAON,NOAGAON,1716983830,CO-EDUCATION JOINT,Secondary,1,0.071878575,0.689929384,0.432725622
107068,10.87,12.09,13.08,13.86,15.18,0.566,0,0.556,0.658,0.407,0.481,MASHIMPUR A.L.M HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,CHANDIPUR,MASIMPUR,MASHIMPUR,1728274950,CO-EDUCATION JOINT,Secondary,1,0.12867001,0.626104093,0.422292744
107069,10.86,12.1,12.98,14.43,15.46,1,0.333,0.04,0.376,0.799,0.846,RAMGANJ PAILOT GIRL'S HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,WARD NO-09,PURBA ANGHAR PARA,ANGER PARA,1718001322,GIRLS,Secondary,5,0.055414515,0.60951598,0.965081043
107070,11.32,11.52,13.42,14.37,14.31,0.61,0.154,0.243,0.642,0.595,0.664,NICHAHARA SHAMAJ KALLYAN HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,KANCHANPUR,NICHAHARA,NICHAHARA,1714349648,CO-EDUCATION JOINT,Secondary,1,0.401982367,0.592726064,0.552735042
107071,13.06,13.38,13.6,14.12,15.01,0.597,0.2,0.072,0.449,0.75,0.803,ATHAKARA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,BHOLAKOT,ATAKHARA,ATHAKARA,1714349476,CO-EDUCATION JOINT,Secondary,1,0.255355962,0.592726064,0.667379507
107072,12.95,12.34,11.96,13.11,12.88,0.516,0,0.82,0.463,0.25,0.314,GAZIPUR RAZZAKIA JANA KALYAN HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,KARPARA,GAZIPUR,GAZIPUR,1720918437,CO-EDUCATION JOINT,Secondary,1,0.686572763,0.575717324,0.308334162
107073,11.26,12.26,13.34,14.22,15.12,0.588,0,0.38,0.731,0.508,0.581,SHAUDER KHIL HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,NOAGAON,SADHERKHIL,SHAUDERKHIL,1813880149,CO-EDUCATION JOINT,Secondary,1,0.446629341,0.541399428,0.491763081
107074,11.16,11.96,13.03,13.78,13.98,0.572,0.2,0.038,0.369,0.804,0.849,KAWALI DANGA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,KANCHANPUR,KAWALIDANGA,KAWALI DANGA,1814228915,CO-EDUCATION JOINT,Secondary,1,0.11052579,0.506722438,0.711595828
107075,11.26,12.5,13.17,13.72,14.4,0.599,0.111,0.587,0.639,0.39,0.463,SHAH JAKI UDDIN HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,KARPARA,KARPARA,SHAMPUR,1729390576,CO-EDUCATION JOINT,Secondary,1,0.02340097,0.454764551,0.410190103
107076,11.82,12.17,13.48,14.16,15.04,0.624,0.308,0.014,0.274,0.862,0.897,DARBESPUR HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,DARBESHPUR,DARBESH PUR,UTTAR DARBESPUR,1712141328,CO-EDUCATION JOINT,Secondary,1,0.482362391,0.370192273,0.764280522
107077,11.85,12.76,13.55,13.69,14.91,0.511,0.2,0.293,0.678,0.562,0.632,NAGMUD BAZAR HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,BHOLAKOT,MADHYAPARA,NAGMUD BAZAR,1716149299,CO-EDUCATION JOINT,Secondary,1,0.384537473,0.248397965,0.529120086
107079,12.63,12.97,14.22,15.12,15.72,0.651,0.286,0.327,0.7,0.54,0.612,ALIPUR ADARASA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,DARBESHPUR,ALIPUR,ALIPUR,1919424507,CO-EDUCATION JOINT,Secondary,1,0.303786143,0.191704793,0.513987654
107080,10.65,12.33,13.19,14.2,0,0.563,0.333,0.054,0.411,0.776,0.826,LHUMBNAGAR ACADEMY,School,CHITTAGONG,LAKSHMIPUR,RAMGANJ,BHOLAKOT,LAKSHMIDHAR PARA,LAKSHMIDHAR PARA,1716090701,CO-EDUCATION JOINT,Secondary,1,0.067388657,0.178037083,0.688488956
107114,10,12,13,14,15,0.483,0.273,0.329,0.701,0.539,0.611,BIBIR HAT RASHIDIA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGATI,CHAR RAMIZ,CHAR RAMIZ,CHAR RAMIJ,1713624966,CO-EDUCATION JOINT,Secondary,1,0.007779901,0.719972117,0.513230321
107117,11.57,11.36,12.79,14.5,14.95,1,0.2,0.779,0.501,0.277,0.344,SULTANA GIRLS HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGATI,CHAR ALGI,CHAR ALGI,CHAR ALGI,1717370172,GIRLS,Secondary,1,0.619469092,0.51066725,0.329126028
107118,10.66,11.65,12.39,13.45,14.42,0.514,0.143,0.997,0.099,0.042,0.063,JAGOBANDHU HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,KAMALNAGAR,CHAR FALCON,CHAR FALCON (PART),HAZIRHAT,1721684755,CO-EDUCATION JOINT,Secondary,1,0.236655909,0.187763186,0.109354334
107119,10.79,11.93,12.91,14.05,14.82,0.537,0.063,0.543,0.666,0.415,0.488,CHAR LAWRANCE HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,KAMALNAGAR,CHAR LAWRENCE,DAKSHIN CHAR MARTIN (PART),CHAR LAWRANCE.WOARD NO-06,1717297926,CO-EDUCATION JOINT,Secondary,2,0.101383534,0.592726064,0.553235762
107122,11.54,12.52,13.46,14.44,15.63,0.539,0.167,0.312,0.691,0.549,0.621,UDAYAN ADARSHA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,KAMALNAGAR,TORABGANG,TURABGANJ,TORAB GONJ,1716843108,CO-EDUCATION JOINT,Secondary,1,0.112782528,0.14203301,0.520548797
107123,11.57,12.56,13.51,14.47,15.43,0.523,0.125,0.563,0.654,0.404,0.477,CHAR AFZAL AZAD MEMORIAL  HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGATI,CHAR RAMIZ,UTTAR TUMCHAR(CHAR AFZAL F,CHAR AFZAL,1717027269,CO-EDUCATION JOINT,Secondary,1,0.01438797,0.184824186,0.419816456
107124,10.91,12.45,14.05,15.28,15.71,0.463,0.091,0.408,0.742,0.491,0.565,KADIR PONDITER HAT HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,KAMALNAGAR,CHAR LAWRENCE,CHAR LAWRENCE,CHAR LAWRANGH.HAZI ROAD,1717719916,CO-EDUCATION JOINT,Secondary,1,0.658787436,0.322102289,0.480403779
107125,10.08,11.05,12.08,13.09,14.2,0.389,0.182,0.538,0.669,0.417,0.491,CHAR MEHAR AZIZIA HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGATI,CHAR ALGI,CHAR ALGI,CHAR ALGI,1768853409,CO-EDUCATION JOINT,Secondary,1,3.76E-05,0.824061392,0.429242407
107126,11.12,11.8,13.63,14.98,15.55,0.526,0,0.552,0.661,0.41,0.483,MOTIRHAT HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,KAMALNAGAR,CHAR KALKINI,CHAR SAMSUDDIN,CHOR SHAMSUDDIN & AKRAM UDDIN ROAD,1718687709,CO-EDUCATION JOINT,Secondary,1,0.012514131,0.196652922,0.424027982
107127,11.2,12.25,13.15,14.25,15.23,1,0.231,0.967,0.247,0.116,0.158,ALEXANDER PILOT GIRLS HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGATI,WARD NO-06,SABUJGRAM,ALEXANDER,1743400703,GIRLS,Secondary,5,0.762355942,0.524107464,0.657664057
107128,10.02,11.15,12.1,13.16,14.64,0.551,0.133,0.346,0.712,0.528,0.6,CHAR JANGALIA S C HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,KAMALNAGAR,HAJIRHAT,CHAR JANGALIA,CHARJANGALIA,1715147096,CO-EDUCATION JOINT,Secondary,1,0.225411664,0.96418348,0.505907387
107129,10.48,11.21,12.45,13.27,14.12,0.343,0.273,0.556,0.659,0.408,0.481,RAMGOTI B.B.K. PILOT MODEL HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGATI,CHAR GAZI,CHAR LAKSHMI,CHAR LAXMI,1819166261,CO-EDUCATION JOINT,Secondary,1,0.014046404,0.960611734,0.422540544
107130,11.37,12.18,11.97,13.55,13.7,0.583,0.273,0.173,0.582,0.648,0.713,CHARSITA TORAB ALI HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGATI,CHAR BADAM,PURBA CHAR SITA (PART),CHARSITA,1712659392,CO-EDUCATION JOINT,Secondary,5,0.01956334,0.874628535,0.932640753
107131,10.7,12,13,14,15,0.375,0,0.404,0,0,0,ALEXANDER MODEL PILOT HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGATI,WARD NO-08,SHIKHYAGRAM (PART),ALEXANDER.5 N0NG WARDRAMGOTI POUROSOVA,1735615388,CO-EDUCATION JOINT,Secondary,5,0.001538097,0.874628535,0.025937788
107132,11,12,13,14,15.05,0.354,0,0.884,0.392,0.202,0.26,RAGHUNATHPUR PALLI MONGAL HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGATI,BARA KHERI,BARA KHERI,RAGHUNATH PUR,1714433416,CO-EDUCATION JOINT,Secondary,1,0.353564198,0.689929384,0.270683795
107133,10.3,11.22,12.4,13.23,14.17,1,0.25,0.441,0.724,0.472,0.546,RAMGOTI ACHIA PILOT GIRLS HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,RAMGATI,BARA KHERI,BARA KHERI,BARA KHERI,1812354449,GIRLS,Secondary,1,0.018868732,0.592726064,0.46729786
107134,11.27,12,13,14,15,0.467,0,0.746,0.529,0.298,0.367,TORABGONJ HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,KAMALNAGAR,TORABGANG,TURABGANJ,TORABGONJ,1710846824,CO-EDUCATION JOINT,Secondary,1,9.59E-05,0.592726064,0.344612675
107135,11.06,12.13,13.12,14.09,14.86,0.434,0,0.799,0.484,0.265,0.33,FALKON HIGH SCHOOL,School,CHITTAGONG,LAKSHMIPUR,KAMALNAGAR,CHAR FALCON,PURBA CHAR FALCON (PART),CHAR FALKON,1721468807,CO-EDUCATION JOINT,Secondary,1,0.159109266,0.524107464,0.31956336
